iter	RMSE
0	21784.26117
1	21026.78939
2	20377.10789
3	19830.77391
4	19360.38821
5	18975.09761
6	18631.54224
7	18296.43109
8	17974.50431
9	17366.91891
10	17123.31537
11	16621.3629
12	16427.25032
13	16006.34444
14	15802.41898
15	15651.0051
16	15488.17361
17	15291.07857
18	15144.98707
19	14994.27192
20	14901.57092
21	14572.66031
22	14450.38764
23	14373.46349
24	14116.80364
25	14016.31389
26	13780.53183
27	13691.23007
28	13604.21114
29	13423.64463
30	13360.72416
31	13287.56936
32	13215.44366
33	13157.02768
34	13089.81455
35	12932.12657
36	12788.99232
37	12729.93205
38	12665.14519
39	12536.67945
40	12498.93263
41	12437.20674
42	12377.64813
43	12328.29548
44	12218.8133
45	12157.94967
46	12053.96723
47	12015.94157
48	11917.76208
49	11849.63577
50	11762.20343
51	11681.16689
52	11651.33519
53	11615.28613
54	11572.70034
55	11540.4385
56	11480.84946
57	11448.41025
58	11400.5375
59	11375.57205
60	11306.7544
61	11255.00256
62	11224.01812
63	11180.43274
64	11129.06846
65	11093.502
66	11053.00146
67	10983.27158
68	10957.6179
69	10915.61209
70	10884.54914
71	10849.18242
72	10796.15144
73	10758.76354
74	10728.57052
75	10695.51116
76	10664.89464
77	10645.84422
78	10614.95233
79	10588.22469
80	10544.34897
81	10522.32918
82	10497.82327
83	10473.04432
84	10423.01614
85	10377.15394
86	10351.36241
87	10316.57267
88	10295.11712
89	10274.82953
90	10244.56835
91	10206.99562
92	10181.93338
93	10162.62781
94	10141.16861
95	10111.65736
96	10096.44784
97	10066.24665
98	10040.8173
99	10023.78749
100	10010.05332
101	9981.280983
102	9941.431802
103	9905.559395
104	9884.064876
105	9852.854196
106	9824.321213
107	9806.330753
108	9790.756825
109	9766.413292
110	9753.831253
111	9721.852881
112	9707.738422
113	9672.753306
114	9650.569491
115	9605.568804
116	9582.075073
117	9558.467718
118	9538.205023
119	9513.567629
120	9494.816788
121	9473.314786
122	9442.756646
123	9427.860804
124	9416.800646
125	9398.929008
126	9378.503253
127	9356.885504
128	9346.12707
129	9328.939065
130	9311.114078
131	9295.925776
132	9280.183061
133	9264.857804
134	9236.116042
135	9222.615389
136	9212.091888
137	9198.331672
138	9181.975394
139	9168.042701
140	9151.813738
141	9139.382479
142	9106.592974
143	9090.667657
144	9068.543431
145	9053.15331
146	9036.852287
147	9024.234441
148	9011.341607
149	8974.579677
150	8948.630787
151	8934.775467
152	8917.80308
153	8902.107139
154	8893.73751
155	8878.644382
156	8861.223714
157	8848.284076
158	8817.93055
159	8805.167763
160	8788.875059
161	8773.414777
162	8759.063299
163	8747.567918
164	8733.284064
165	8725.119544
166	8714.895893
167	8702.335892
168	8687.447706
169	8675.46658
170	8664.80472
171	8650.84839
172	8640.109863
173	8630.88146
174	8604.309227
175	8595.720552
176	8589.044339
177	8577.076341
178	8551.682966
179	8541.211374
180	8525.783085
181	8516.97132
182	8508.366198
183	8501.97333
184	8494.435074
185	8480.859691
186	8473.897907
187	8462.315044
188	8445.961691
189	8432.087548
190	8426.732642
191	8416.402536
192	8406.890852
193	8394.179812
194	8383.312243
195	8377.382327
196	8353.299608
197	8344.538583
198	8331.543094
199	8324.987952
200	8313.088016
201	8304.951119
202	8297.664571
203	8288.288847
204	8269.336968
205	8258.953921
206	8248.633615
207	8243.011979
208	8230.265305
209	8222.180478
210	8215.010376
211	8206.086782
212	8199.532774
213	8187.028744
214	8181.999781
215	8163.663788
216	8155.216423
217	8137.217442
218	8128.363263
219	8119.623714
220	8107.821489
221	8099.057441
222	8092.300296
223	8085.4676
224	8075.805029
225	8067.903845
226	8060.649493
227	8053.40302
228	8043.507573
229	8032.647114
230	8026.142615
231	8010.404701
232	8002.717514
233	7994.600494
234	7988.923478
235	7981.69434
236	7974.558754
237	7968.725514
238	7962.122997
239	7953.642398
240	7947.46548
241	7935.823002
242	7932.959013
243	7923.254242
244	7907.234982
245	7902.970392
246	7895.743172
247	7875.996039
248	7867.823383
249	7861.171785
250	7856.922565
251	7850.425449
252	7845.15103
253	7835.953422
254	7827.369124
255	7820.634574
256	7809.100366
257	7804.44174
258	7792.443252
259	7782.583743
260	7774.044935
261	7768.103146
262	7760.02426
263	7756.881216
264	7749.152315
265	7733.241304
266	7728.157408
267	7723.430113
268	7719.138256
269	7714.436255
270	7701.557326
271	7696.388974
272	7684.103271
273	7675.569762
274	7669.55487
275	7654.441464
276	7647.317987
277	7637.571384
278	7629.390476
279	7623.499066
280	7617.039576
281	7610.626692
282	7606.456191
283	7602.382793
284	7596.758719
285	7591.364767
286	7588.404441
287	7577.894527
288	7567.157542
289	7564.147112
290	7557.07026
291	7553.108691
292	7549.043993
293	7543.322127
294	7536.208155
295	7529.427096
296	7523.068288
297	7517.280896
298	7508.782193
299	7505.939255
300	7502.151255
301	7495.309155
302	7493.571677
